GEO_ID,NAME,DP05_0002PE,DP05_0003PE,DP05_0005PE,DP05_0006PE,DP05_0007PE,DP05_0008PE,DP05_0009PE,DP05_0010PE,DP05_0011PE,DP05_0012PE,DP05_0013PE,DP05_0014PE,DP05_0015PE,DP05_0016PE,DP05_0017PE,DP05_0019PE,DP05_0024PE,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0044PE,DP05_0071PE
id,Geographic Area Name,Percent Male,Percent Female,Percent 5 and under,Percent 5 to 9,Percent 10 to 14,Percent 15 to 19,Percent 20 to 24,Percent 25 to 34 years,Percent 35 to 44 years,Percent 45 to 54 years,Percent 55 to 59 years,Percent 60 to 64 years,Percent 65 to 74 years,Percent 75 to 84 years,Percent 85 years and over,Percent under 18 years,Percent 65 years and over,Percent White,Percent Black ,Percent American Indian and Alaska Native,Percent Asian,Percent Hispanic/Latino
0500000US06011,"Colusa County, California",51.2,48.8,7.3,7.7,7.7,7.4,6.2,13.5,11.9,11.8,6.8,5.4,8.7,4.1,1.5,27.2,14.4,88.3,1.5,1,1.4,59.4
0500000US06013,"Contra Costa County, California",48.9,51.1,5.7,6.3,6.7,6.4,5.9,12.7,13.4,14.3,7,6.1,9,4.4,2,22.9,15.4,55.8,8.7,0.5,16.7,25.6
0500000US06015,"Del Norte County, California",53.6,46.4,5.6,5.4,7.1,5.8,4.7,14.5,13.5,11.8,8,6.5,10.4,4.5,2.2,21.5,17.2,74.9,3.4,7.2,3.2,19.7
0500000US06017,"El Dorado County, California",49.8,50.2,4.6,5.4,6.2,6,5.1,10.1,11.2,13.9,8.7,8.3,12.6,5.7,2.1,20.1,20.5,87.6,0.8,0.8,4.5,12.8
0500000US06019,"Fresno County, California",49.9,50.1,7.9,7.9,8.2,7.3,7.3,15.3,12.5,11.3,5.5,4.9,7,3.3,1.6,28.5,12,65,4.8,1.2,10.3,53.1
0500000US06021,"Glenn County, California",50.8,49.2,7.3,6.3,8.5,7.3,6.4,12.2,12,11.6,5.6,6.7,9,5,2,26.8,15.9,81.1,0.8,2.4,2.9,41.8
0500000US06023,"Humboldt County, California",49.7,50.3,5.3,5.5,5.3,6.6,9.3,13.5,12.6,10.9,6.6,7,10.9,4.3,2.1,19.2,17.3,79.9,1.1,5,3.1,11.6
0500000US06025,"Imperial County, California",51.3,48.7,8.3,7.4,8.3,7.6,7.4,14.7,12.2,11.2,5.3,5,7.1,3.9,1.7,28.7,12.6,65.1,2.5,1.1,1.5,84.2
0500000US06027,"Inyo County, California",50.4,49.6,5.6,6.2,5.2,5.4,4.2,10.7,11.7,11.9,7.7,8.7,12.8,7.1,2.9,20.1,22.8,78.8,0.9,11.3,1.9,22.4
0500000US06029,"Kern County, California",51.2,48.8,7.9,8,8.4,7.4,7.6,15.5,12.6,11.4,5.5,4.9,6.4,3,1.2,29.1,10.7,74.4,5.5,1,4.7,53.3
0500000US06031,"Kings County, California",55.1,44.9,7.7,7.6,7.8,6.9,8.4,16.8,13.7,11.7,5.1,4.3,5.8,3.1,1,27.2,10,67.7,6.4,1.6,3.9,54.5
